# Curated mining & metallurgy domain concepts for Wikidata interwiki harvest.
# Columns: en_term <TAB> label   (label ∈ MATERIAL PROCESS EQUIPMENT PROPERTY)
# The resolver maps each to a Wikidata QID; elements are harvested separately.
# Kept high-precision on purpose — this is the corpus-independent seed AM asked for.
nickel	MATERIAL
copper	MATERIAL
cobalt	MATERIAL
platinum	MATERIAL
palladium	MATERIAL
matte	MATERIAL
slag	MATERIAL
concentrate	MATERIAL
tailings	MATERIAL
ore	MATERIAL
sulfide ore	MATERIAL
pyrrhotite	MATERIAL
pentlandite	MATERIAL
chalcopyrite	MATERIAL
blister copper	MATERIAL
ferronickel	MATERIAL
sulfuric acid	MATERIAL
sulfur dioxide	MATERIAL
electrolyte	MATERIAL
cathode	MATERIAL
anode	MATERIAL
flotation	PROCESS
froth flotation	PROCESS
leaching	PROCESS
pressure leaching	PROCESS
pressure oxidation	PROCESS
electrowinning	PROCESS
electrorefining	PROCESS
smelting	PROCESS
flash smelting	PROCESS
roasting	PROCESS
converting	PROCESS
solvent extraction	PROCESS
hydrometallurgy	PROCESS
pyrometallurgy	PROCESS
comminution	PROCESS
grinding	PROCESS
crushing	PROCESS
thickening	PROCESS
filtration	PROCESS
calcination	PROCESS
sintering	PROCESS
electrolysis	PROCESS
refining	PROCESS
beneficiation	PROCESS
magnetic separation	PROCESS
ball mill	EQUIPMENT
rod mill	EQUIPMENT
autogenous mill	EQUIPMENT
flotation cell	EQUIPMENT
autoclave	EQUIPMENT
converter	EQUIPMENT
flash furnace	EQUIPMENT
electric arc furnace	EQUIPMENT
blast furnace	EQUIPMENT
thickener	EQUIPMENT
hydrocyclone	EQUIPMENT
crusher	EQUIPMENT
jaw crusher	EQUIPMENT
filter press	EQUIPMENT
kiln	EQUIPMENT
rotary kiln	EQUIPMENT
current density	PROPERTY
particle size	PROPERTY
pulp density	PROPERTY
viscosity	PROPERTY
porosity	PROPERTY
tensile strength	PROPERTY
hardness	PROPERTY
